show_id,last_update,number_of_votes,score
1,2022-12-30 00:00:00,31180,9
2,2022-12-30 00:00:00,2268288,8.8
3,2022-12-30 00:00:00,1994599,8.8
4,2022-12-30 00:00:00,20595,8.7
5,2022-12-30 00:00:00,44074,8.7
6,2022-12-30 00:00:00,1346020,8.6
7,2022-12-30 00:00:00,1472668,8.4
8,2022-12-30 00:00:00,180247,8.4
9,2022-12-30 00:00:00,14356,8.4
10,2022-12-30 00:00:00,11973,8.4
11,2022-12-30 00:00:00,25687,8.4
12,2022-12-30 00:00:00,385782,8.4
13,2022-12-30 00:00:00,20611,8.4
14,2022-12-30 00:00:00,13680,8.4
15,2022-12-30 00:00:00,17710,8.3
16,2022-12-30 00:00:00,342335,8.3
17,2022-12-30 00:00:00,795222,8.3
18,2022-12-30 00:00:00,188234,8.3
19,2022-12-30 00:00:00,11488,8.3
20,2022-12-30 00:00:00,723306,8.3
21,2022-12-30 00:00:00,463276,8.2
22,2022-12-30 00:00:00,79075,8.2
23,2022-12-30 00:00:00,64805,8.2
24,2022-12-30 00:00:00,35888,8.2
25,2022-12-30 00:00:00,24845,8.2
26,2022-12-30 00:00:00,11403,8.2
27,2022-12-30 00:00:00,178012,8.2
28,2022-12-30 00:00:00,91560,8.2
29,2022-12-30 00:00:00,530877,8.2
30,2022-12-30 00:00:00,32336,8.2
31,2022-12-30 00:00:00,46939,8.2
32,2022-12-30 00:00:00,34914,8.2
33,2022-12-30 00:00:00,88359,8.2
34,2022-12-30 00:00:00,10649,8.1
35,2022-12-30 00:00:00,44556,8.1
36,2022-12-30 00:00:00,719717,8.1
37,2022-12-30 00:00:00,141480,8.1
38,2022-12-30 00:00:00,89085,8.1
39,2022-12-30 00:00:00,24681,8.1
40,2022-12-30 00:00:00,118092,8.1
41,2022-12-30 00:00:00,29604,8.1
42,2022-12-30 00:00:00,465254,8.1
43,2022-12-30 00:00:00,12035,8.1
44,2022-12-30 00:00:00,80643,8.1
45,2022-12-30 00:00:00,54001,8.1
46,2022-12-30 00:00:00,75801,8.1
47,2022-12-30 00:00:00,75132,8.1
48,2022-12-30 00:00:00,57449,8.1
49,2022-12-30 00:00:00,34659,8.1
50,2022-12-30 00:00:00,611379,8.1
51,2022-12-30 00:00:00,111053,8.1
52,2022-12-30 00:00:00,51232,8.1
53,2022-12-30 00:00:00,71167,8.1
54,2022-12-30 00:00:00,32573,8.1
55,2022-12-30 00:00:00,16225,8.1
56,2022-12-30 00:00:00,392790,8.1
57,2022-12-30 00:00:00,391942,8.1
58,2022-12-30 00:00:00,12512,8.1
59,2022-12-30 00:00:00,13140,8
60,2022-12-30 00:00:00,61797,8
61,2022-12-30 00:00:00,536858,8
62,2022-12-30 00:00:00,36291,8
63,2022-12-30 00:00:00,221095,8
64,2022-12-30 00:00:00,586679,8
65,2022-12-30 00:00:00,627009,8
66,2022-12-30 00:00:00,644336,8
67,2022-12-30 00:00:00,55489,8
68,2022-12-30 00:00:00,51938,8
69,2022-12-30 00:00:00,117333,8
70,2022-12-30 00:00:00,11330,8
71,2022-12-30 00:00:00,435503,8
72,2022-12-30 00:00:00,15889,8
73,2022-12-30 00:00:00,392419,8
74,2022-12-30 00:00:00,170351,8
75,2022-12-30 00:00:00,24903,8
76,2022-12-30 00:00:00,539864,8
77,2022-12-30 00:00:00,748654,8
78,2022-12-30 00:00:00,51945,7.9
79,2022-12-30 00:00:00,13308,7.9
80,2022-12-30 00:00:00,15186,7.9
81,2022-12-30 00:00:00,30389,7.9
82,2022-12-30 00:00:00,290643,7.9
83,2022-12-30 00:00:00,48672,7.9
84,2022-12-30 00:00:00,21632,7.9
85,2022-12-30 00:00:00,18523,7.9
86,2022-12-30 00:00:00,24046,7.9
87,2022-12-30 00:00:00,68028,7.9
88,2022-12-30 00:00:00,25269,7.9
89,2022-12-30 00:00:00,10903,7.9
90,2022-12-30 00:00:00,327565,7.8
91,2022-12-30 00:00:00,371209,7.8
92,2022-12-30 00:00:00,17029,7.8
93,2022-12-30 00:00:00,454917,7.8
94,2022-12-30 00:00:00,23076,7.8
95,2022-12-30 00:00:00,681286,7.8
96,2022-12-30 00:00:00,619645,7.8
97,2022-12-30 00:00:00,36512,7.8
98,2022-12-30 00:00:00,314049,7.8
99,2022-12-30 00:00:00,10742,7.8
100,2022-12-30 00:00:00,570138,7.8
101,2022-12-30 00:00:00,125720,7.8
102,2022-12-30 00:00:00,429097,7.8
103,2022-12-30 00:00:00,298168,7.8
104,2022-12-30 00:00:00,21882,7.8
105,2022-12-30 00:00:00,22858,7.8
106,2022-12-30 00:00:00,523686,7.8
107,2022-12-30 00:00:00,29819,7.8
108,2022-12-30 00:00:00,94121,7.8
109,2022-12-30 00:00:00,12699,7.8
110,2022-12-30 00:00:00,19708,7.8
111,2022-12-30 00:00:00,137549,7.8
112,2022-12-30 00:00:00,27130,7.8
113,2022-12-30 00:00:00,24319,7.7
114,2022-12-30 00:00:00,80129,7.7
115,2022-12-30 00:00:00,111189,7.7
116,2022-12-30 00:00:00,153508,7.7
117,2022-12-30 00:00:00,25792,7.7
118,2022-12-30 00:00:00,12395,7.7
119,2022-12-30 00:00:00,240408,7.7
120,2022-12-30 00:00:00,17411,7.7
121,2022-12-30 00:00:00,153463,7.7
122,2022-12-30 00:00:00,25593,7.7
123,2022-12-30 00:00:00,10257,7.7
124,2022-12-30 00:00:00,697481,7.7
125,2022-12-30 00:00:00,52227,7.7
126,2022-12-30 00:00:00,600392,7.7
127,2022-12-30 00:00:00,23541,7.7
128,2022-12-30 00:00:00,263212,7.7
129,2022-12-30 00:00:00,170728,7.7
130,2022-12-30 00:00:00,212913,7.7
131,2022-12-30 00:00:00,21963,7.7
132,2022-12-30 00:00:00,23297,7.7
133,2022-12-30 00:00:00,21204,7.7
134,2022-12-30 00:00:00,413541,7.7
135,2022-12-30 00:00:00,300073,7.7
136,2022-12-30 00:00:00,323939,7.6
137,2022-12-30 00:00:00,620154,7.6
138,2022-12-30 00:00:00,269043,7.6
139,2022-12-30 00:00:00,51640,7.6
140,2022-12-30 00:00:00,23771,7.6
141,2022-12-30 00:00:00,14590,7.6
142,2022-12-30 00:00:00,13703,7.6
143,2022-12-30 00:00:00,19646,7.6
144,2022-12-30 00:00:00,29578,7.6
145,2022-12-30 00:00:00,36805,7.6
146,2022-12-30 00:00:00,18224,7.6
147,2022-12-30 00:00:00,120871,7.6
148,2022-12-30 00:00:00,79674,7.6
149,2022-12-30 00:00:00,20430,7.6
150,2022-12-30 00:00:00,100787,7.6
151,2022-12-30 00:00:00,10210,7.6
152,2022-12-30 00:00:00,14215,7.6
153,2022-12-30 00:00:00,14037,7.6
154,2022-12-30 00:00:00,28370,7.6
155,2022-12-30 00:00:00,10544,7.6
156,2022-12-30 00:00:00,30277,7.6
157,2022-12-30 00:00:00,474176,7.6
158,2022-12-30 00:00:00,224900,7.6
159,2022-12-30 00:00:00,30818,7.6
160,2022-12-30 00:00:00,37528,7.6
161,2022-12-30 00:00:00,32814,7.6
162,2022-12-30 00:00:00,11241,7.6
163,2022-12-30 00:00:00,149082,7.6
164,2022-12-30 00:00:00,333378,7.6
165,2022-12-30 00:00:00,11495,7.5
166,2022-12-30 00:00:00,32188,7.5
167,2022-12-30 00:00:00,491048,7.5
168,2022-12-30 00:00:00,39620,7.5
169,2022-12-30 00:00:00,23011,7.5
170,2022-12-30 00:00:00,325132,7.5
171,2022-12-30 00:00:00,12278,7.5
172,2022-12-30 00:00:00,28409,7.5
173,2022-12-30 00:00:00,14230,7.5
174,2022-12-30 00:00:00,31531,7.5
175,2022-12-30 00:00:00,96418,7.5
176,2022-12-30 00:00:00,33714,7.5
177,2022-12-30 00:00:00,264884,7.5
178,2022-12-30 00:00:00,86614,7.5
179,2022-12-30 00:00:00,27003,7.5
180,2022-12-30 00:00:00,14839,7.5
181,2022-12-30 00:00:00,361422,7.5
182,2022-12-30 00:00:00,19556,7.5
183,2022-12-30 00:00:00,17716,7.5
184,2022-12-30 00:00:00,50150,7.5
185,2022-12-30 00:00:00,55044,7.5
186,2022-12-30 00:00:00,42373,7.5
187,2022-12-30 00:00:00,103673,7.5
188,2022-12-30 00:00:00,93314,7.5
189,2022-12-30 00:00:00,57399,7.5
190,2022-12-30 00:00:00,20986,7.5
191,2022-12-30 00:00:00,255099,7.5
192,2022-12-30 00:00:00,154049,7.4
193,2022-12-30 00:00:00,261956,7.4
194,2022-12-30 00:00:00,446531,7.4
195,2022-12-30 00:00:00,25793,7.4
196,2022-12-30 00:00:00,29804,7.4
197,2022-12-30 00:00:00,26790,7.4
198,2022-12-30 00:00:00,47676,7.4
199,2022-12-30 00:00:00,277165,7.4
200,2022-12-30 00:00:00,165817,7.4
201,2022-12-30 00:00:00,14380,7.4
202,2022-12-30 00:00:00,17494,7.4
203,2022-12-30 00:00:00,26738,7.4
204,2022-12-30 00:00:00,12265,7.4
205,2022-12-30 00:00:00,13446,7.4
206,2022-12-30 00:00:00,193208,7.4
207,2022-12-30 00:00:00,242733,7.4
208,2022-12-30 00:00:00,21415,7.4
209,2022-12-30 00:00:00,19151,7.4
210,2022-12-30 00:00:00,30235,7.4
211,2022-12-30 00:00:00,230543,7.4
212,2022-12-30 00:00:00,23781,7.4
213,2022-12-30 00:00:00,17141,7.4
214,2022-12-30 00:00:00,11582,7.4
215,2022-12-30 00:00:00,507878,7.4
216,2022-12-30 00:00:00,21558,7.4
217,2022-12-30 00:00:00,18466,7.4
218,2022-12-30 00:00:00,28911,7.4
219,2022-12-30 00:00:00,52657,7.4
220,2022-12-30 00:00:00,10266,7.4
221,2022-12-30 00:00:00,128600,7.4
222,2022-12-30 00:00:00,566791,7.4
223,2022-12-30 00:00:00,78039,7.4
224,2022-12-30 00:00:00,11934,7.4
225,2022-12-30 00:00:00,48818,7.4
226,2022-12-30 00:00:00,17136,7.4
227,2022-12-30 00:00:00,180532,7.3
228,2022-12-30 00:00:00,41752,7.3
229,2022-12-30 00:00:00,288960,7.3
230,2022-12-30 00:00:00,44917,7.3
231,2022-12-30 00:00:00,116305,7.3
232,2022-12-30 00:00:00,10415,7.3
233,2022-12-30 00:00:00,120488,7.3
234,2022-12-30 00:00:00,14968,7.3
235,2022-12-30 00:00:00,28196,7.3
236,2022-12-30 00:00:00,265023,7.3
237,2022-12-30 00:00:00,146847,7.3
238,2022-12-30 00:00:00,216847,7.3
239,2022-12-30 00:00:00,45200,7.3
240,2022-12-30 00:00:00,143670,7.3
241,2022-12-30 00:00:00,119020,7.3
242,2022-12-30 00:00:00,240433,7.3
